"","actual","predicted"
"713",415,411.225062875518
"273",448,423.869990418725
"600",553,522.435243537329
"265",353,346.139067918785
"423",414,408.164997632965
"1245",485,493.816290282901
"1375",300,294.221376282366
"978",469,463.403361394433
"1603",334,325.284145426027
"407",573,558.082666297566
"1955",377,371.941745624365
"831",427,412.430790075657
"926",328,317.158098741566
"2000",621,607.775353666009
"958",295,280.381320421794
"1801",383,367.199974106428
"1383",370,369.872459313641
"1471",745,718.124437432237
"1686",341,321.532335034285
"1485",673,659.330368015399
"742",323,311.051390153135
"1506",519,531.25335593654
"1851",656,644.749942466166
"1571",352,347.236765977804
"1322",368,367.214733363945
"1370",317,306.748400192525
"202",283,264.887436132995
"434",354,345.765721563313
"472",259,245.409127475975
"1683",374,341.91493085522
"1552",318,315.258437260279
"26",251,259.445648339419
"1397",476,484.512000742454
"1505",518,507.266686949226
"1671",481,480.60486238026
"473",211,195.616814406208
"45",257,261.511741727206
"1850",709,707.161780321275
"1627",535,529.846606717883
"1556",399,396.248297930019
"1266",336,330.385129865468
"1200",518,504.899677447267
"526",513,524.427640627401
"558",642,647.457430214704
"94",326,302.949224134916
"985",465,419.242323265011
"1685",357,350.86347763891
"1935",644,634.753778218333
"1171",516,519.459682138359
"2084",718,697.158618842933
"2070",373,389.434210248574
"122",262,258.693537098841
"1818",614,596.856384277708
"1536",322,314.542609874887
"545",263,260.185196986177
"223",382,363.578767987848
"767",254,250.974427082119
"1752",353,358.837294666429
"141",317,300.499356594702
"566",262,280.452898512047
"695",229,51.2271304200584
"866",299,300.226960157173
"636",690,667.434537473178
"1175",390,380.064633141906
"238",271,276.525607084712
"1188",320,310.894515923032
"673",349,357.294316720061
"1509",432,430.426634411555
"770",263,260.642150133605
"977",462,450.70707815932
"991",310,368.218176332422
"855",411,403.653568280433
"55",326,317.020682617556
"1203",569,545.766923851729
"1830",280,287.43489995724
"2085",675,658.348613334879
"1413",383,402.404429702961
"362",325,321.124747011297
"1315",665,664.846960599179
"429",334,382.253411704068
"1687",304,207.90085251041
"1221",274,269.990468778707
"1680",344,345.855455611816
"995",272,265.777125196879
"537",234,339.884866141466
"1985",306,307.241809619579
"1584",502,491.882972061188
"519",523,496.68938179666
"707",675,662.261780049503
"967",309,301.261550285749
"406",793,758.61763136041
"2111",387,399.39497860652
"1735",573,566.334365245727
"649",433,418.125720021088
"721",579,566.773819769107
"1904",313,308.033200270142
"1096",310,309.999999999987
"28",235,222.398295449902
"1227",371,341.078305666182
"709",485,481.862246313942
"2065",353,352.285138822344
"1792",639,618.784333472129
"654",260,250.723968252549
"1237",739,737.184670630633
"1391",708,707.999999999988
"1083",543,533.295776851182
"281",227,232.429755503006
"880",350,333.325710841282
"1979",556,551.517855394962
"308",307,320.626438418643
"514",335,319.475255849237
"760",345,384.898419727692
"71",295,286.455468780639
"1340",312,308.769327821296
"761",354,337.895664994551
"90",269,255.996989852102
"1469",633,626.083896033798
"1978",611,598.858206397191
"334",380,392.553068251195
"1836",322,304.831537874523
"317",225,128.877877699746
"1431",501,492.92233351999
"464",261,249.397863387468
"1190",330,320.990932061074
"1587",481,475.469210292386
"1231",374,374.13696148013
"1706",335,332.200866067238
"1846",630,621.546435711285
"616",252,239.513957344347
"730",276,261.740292422468
"905",370,365.781201506499
"1407",674,670.299088395886
"708",511,493.786657623543
"1840",336,319.722976419559
"1693",346,396.482198026783
"1608",368,265.195542271935
"1023",377,365.245628477634
"463",249,236.233250598326
"1258",579,559.939250034669
"1719",301,297.207166700893
"1682",322,297.658485637262
"1278",452,444.567622801967
"1511",471,471.519362077437
"143",350,330.687603299837
"553",563,539.228414930463
"310",283,278.898546174518
"1324",339,335.39582704657
"221",340,335.652185642352
"1958",525,512.022235642041
"1209",397,386.712352361468
"1974",460,511.410493872747
"455",449,446.695118114799
"1189",328,317.924704166548
"810",299,291.156861145207
"1632",414,408.255985518228
"997",275,271.42822732944
"210",291,281.390342143793
"607",450,439.881452584071
"1085",711,692.403749032089
"1759",327,305.208513764522
"236",217,237.865312194472
"1998",310,301.098537947222
"1449",287,282.11956551367
"1228",333,301.718370125666
"1514",611,602.762843740634
"1783",368,357.170932416336
"975",535,527.500432572532
"718",329,329.624945311382
"2061",282,295.932799516402
"650",490,461.791681644237
"1577",368,360.875846017732
"1398",372,371.064384217705
"1330",641,645.735101774094
"1246",371,368.149771959761
"1535",358,357.957512867414
"838",283,309.192355079032
"1996",362,357.984146934122
"1733",516,511.892434698941
"1282",514,509.232325003612
"1745",610,618.546789067345
"1378",368,353.761114079121
"996",283,277.893784684567
"1764",275,103.94473753842
"1446",308,299.512030935831
"469",259,247.219961368232
"1120",338,332.189023168587
"1732",606,587.74428164406
"1299",299,293.871228275015
"1722",434,413.539839475648
"1001",269,277.878035877142
"1343",337,336.999999999986
"222",420,402.656587766702
"1437",537,532.681505202949
"1364",533,524.027682837699
"1537",286,277.342918066673
"132",229,214.809258870866
"123",423,422.999999999986
"1991",352,366.799075776298
"809",349,336.894686746342
"186",440,426.550220357304
"1540",532,525.627180012503
"1214",499,495.087696532535
"1213",546,502.610717611749
"1065",333,328.040898536614
"398",237,188.754653702993
"1106",594,574.617549306175
"266",327,314.693883784123
"2069",385,392.93980866235
"894",273,284.41995501778
"971",512,513.471643560958
"457",318,317.326952998157
"1232",332,321.22110970845
"1841",340,316.590632013024
"591",423,413.762223344619
"2105",440,433.505460911443
"1591",517,503.469109029374
"1768",276,29.8346590914384
"1474",366,369.67930527431
"2073",364,359.274014851456
"230",355,357.215291815325
"1544",677,671.054997513625
"1915",372,392.516183140187
"1661",393,432.88137225543
"1100",347,343.921074077141
"646",555,531.151366941868
"1480",404,407.110334368484
"1642",302,295.466844398703
"302",355,336.210666794949
"1101",766,728.435026957047
"928",347,343.513491301367
"1003",348,332.098622349744
"737",393,382.772843427245
"1236",535,520.917386342129
"1882",392,385.068703561897
"1824",624,613.638524861331
"67",359,351.452298407522
"351",313,331.914821018439
"1613",252,228.66523162032
"333",675,656.221475868038
"380",324,305.504431582502
"1829",337,326.219787013837
"634",734,704.932546363843
"1835",327,323.525099125149
"676",591,557.819110720558
"187",561,570.3606605076
"254",459,451.684691823618
"1614",255,74.7304255517809
"532",381,412.20561380403
"1638",594,593.917149595549
"1355",497,490.115084896689
"1",528,507.496993413365
"749",378,367.757304351914
"800",296,303.219455902039
"385",250,267.750964535041
"206",240,229.481716325308
"173",235,182.223753740916
"643",268,279.371960557336
"1448",323,314.686387453699
"1805",386,374.509855134775
"1014",766,756.595718648738
"1708",404,416.723041868439
"1105",595,578.775881688257
"696",282,307.356169334577
"735",316,310.182857593409
"935",626,618.809673505102
"808",312,303.646323204286
"1914",358,375.617714571765
"1459",350,356.86224556527
"698",238,245.398101086467
"678",321,314.689143212631
"234",287,290.718268975267
"2038",354,351.552861926675
"361",290,292.680025676581
"844",284,279.482888107582
"1816",607,611.069195515083
"602",443,428.008816410657
"480",313,380.744606402377
"411",474,470.139016981176
"833",426,439.375062908338
"260",655,635.259831051069
"324",321,317.525803533413
"768",275,268.393416064691
"97",311,320.460286619827
"734",289,280.386166883532
"627",409,392.555657088801
"1630",400,392.483299378027
"613",248,275.945400689477
"1831",324,323.632400052918
"246",278,269.951099480921
"1152",308,253.235835418996
"443",396,394.488538301635
"171",235,251.209776101112
"916",280,272.767959759829
"329",376,376.444462137281
"2047",586,588.486218802166
"664",335,322.885196035266
"1352",512,506.452676349282
"253",500,481.790766526285
"1976",558,557.488118165254
"1712",549,560.95769228821
"908",392,400.411181614859
"1110",343,328.201029428776
"955",458,445.644140959022
"2009",704,693.622538663712
"1504",535,525.351760777417
"215",323,307.441330731321
"568",306,377.511510027
"418",542,528.944221348538
"1242",781,753.615603746718
"1327",386,390.204304192875
"1185",351,339.493104978789
"1454",359,344.144945353544
"1166",778,747.099805172388
"30",328,323.404475047895
"574",249,408.150791143595
"964",355,354.516212871712
"1335",521,508.404961025556
"1667",398,318.148087011182
"2026",365,389.252656498211
"1362",603,595.091027512115
"312",246,237.812886659744
"578",251,238.247952496831
"1114",357,352.026069623479
"284",372,366.414561301974
"1825",556,552.153247535347
"92",264,264.475118760768
"2080",670,660.172965492564
"933",665,641.086101056249
"1351",524,519.024553212456
"966",365,357.734636722075
"2092",411,412.003579193168
"249",304,292.25666819224
"1184",418,413.204076847356
"1046",348,335.929498043868
"1325",315,345.806205883864
"1304",327,296.070994773881
"1795",364,357.272165939631
"1451",295,290.957620859237
"1645",477,452.255330706886
"736",322,319.688970984767
"415",361,355.964359276757
"863",602,580.032717824902
"1249",344,342.533935398218
"1734",562,556.269841923819
"151",413,406.712959448662
"1616",450,473.283230230669
"567",367,347.880443035918
"485",352,421.043970579362
"1862",401,422.188747357653
"621",281,268.388485797044
"305",231,226.887049008687
"544",264,201.615248480682
"428",280,283.98411882343
"54",254,263.077496034534
"794",306,303.032190125835
"1834",347,346.319793081672
"335",319,289.822705643362
"556",461,447.776752545882
"227",157,151.964352111782
"332",472,470.691573226461
"1906",366,357.168683512663
"1568",335,331.28685534092
"1606",385,371.723734364898
"1220",317,305.127053397794
"1408",525,527.663840243997
"1718",393,405.971913229982
"594",470,451.230447223359
"2033",447,444.240851577599
"1798",321,309.304870388834
"865",398,397.400229763117
"1744",610,610.201620411131
"1219",319,300.150042388189
"1411",522,522.727524711444
"795",346,343.363845474451
"945",329,321.990213290419
"1864",800,774.425646140734
"901",445,425.834825704054
"1376",322,313.509187665765
"1045",378,365.641200797913
"1919",359,353.275875678302
"988",444,540.974054687022
"1502",367,371.457337637184
"1028",382,397.916507314174
"422",488,456.51427870758
"1456",323,293.845112003659
"1160",521,532.954025904514
"2011",389,394.749518432253
"1715",725,700.659606848519
"536",292,312.383571338716
"1749",414,399.425311850004
"1699",517,638.929422424761
"1971",441,452.333640630055
"118",298,280.62037164393
"1285",504,485.998355061333
"952",370,360.137457714777
"803",503,494.215825419129
"1438",612,598.039607948334
"1153",272,310.486185285505
"373",449,421.553262307729
"1167",746,719.341902969506
"694",255,181.60141998293
"110",282,252.072735310584
"592",461,445.765767034162
"466",266,246.825834975793
"1594",438,446.096236500913
"839",308,324.24163931036
"1040",357,357.279534283434
"339",316,330.499196439367
"1857",366,390.473750755763
"2036",390,389.64269433034
"1425",369,368.999999999987
"1542",688,685.583778143344
"1248",312,304.477725808272
"1513",522,524.871867847347
"1539",539,530.906523085866
"738",368,361.911537161942
"744",424,410.724197466712
"1361",510,504.921118292813
"201",362,346.678854668815
"1226",367,353.110128841665
"1865",700,682.202220607091
"493",476,555.403418885575
"1366",499,502.040822317704
"276",307,311.950985829285
"146",402,402.576810907943
"1056",554,525.594567594769
"640",283,282.511117140038
"973",504,550.365988206022
"1265",288,280.418135168957
"2022",664,648.32283862899
"504",236,237.840524287926
"1669",351,100.372776095967
"892",299,322.787708017888
"1092",801,774.29678791502
"1823",581,583.974737649456
"18",251,236.701759044435
"861",512,508.188003619484
"1198",376,362.287596973669
"86",206,-42.382713344789
"2077",630,613.866768639394
"829",400,381.222282618158
"1503",535,529.582454774261
"341",603,586.251099840725
"824",338,325.828378481251
"1921",285,270.212941538284
"193",347,328.877389463492
"1038",329,324.147764146159
"232",238,233.051564320894
"35",352,337.014284815325
"572",204,222.340869596708
"402",580,569.035750307782
"1970",572,574.843037689825
"2108",311,307.444734673286
"864",699,678.812817774757
"1141",285,285.323125289609
"539",166,141.491340711212
"245",246,240.375574359383
"279",253,250.08355432627
"1973",521,505.582763959874
"679",414,413.999999999987
"1957",414,409.705895582584
"1112",363,358.706504746509
"2060",368,360.801405510286
"164",235,236.079372201043
"1622",756,730.824481689738
"1098",379,371.521190122026
"961",334,321.65145740984
"1596",393,376.665242142338
"615",256,246.200171422516
"1785",417,403.96154581626
"937",550,544.542727797967
"1675",291,329.916085847863
"555",540,533.086031904675
"751",468,464.102086103934
"1896",548,530.023536659147
"1082",306,297.027392401656
"311",276,290.147936736379
"1543",719,718.749018933403
"1790",604,590.244963984412
"1806",369,359.878847065184
"1553",320,319.452682919238
"1940",485,473.870666867954
"667",444,427.747796470955
"1122",403,388.361923667071
"2039",386,382.33890648684
"605",314,324.249872889838
"2091",365,363.416873011126
"847",291,271.176493613101
"1598",313,301.684023205199
"1468",704,686.32179313456
"639",485,479.730773006079
"481",232,205.986154505496
"237",234,240.201787641405
"1907",272,267.182109239499
"766",269,254.589450550096
"350",257,259.900366399249
"1357",429,442.589733619149
"2044",625,610.98488253233
"1164",661,639.895575006503
"1648",344,353.711711312568
"456",268,250.974277071968
"515",318,310.65808643235
"1945",663,648.634798924672
"1147",275,273.226029260143
"462",230,237.279520112448
"1134",613,597.527801070499
"774",250,250.66133579171
"1142",277,269.602161537076
"1445",305,304.886973155835
"728",332,315.686195532268
"7",390,374.929375693193
"256",380,373.923412453761
"580",314,297.684542659653
"509",353,358.589244603351
"1241",613,608.959571738192
"2052",569,571.716577490647
"47",235,226.2502929721
"1329",746,740.442528391883
"1878",379,376.692161971733
"224",510,503.065386162509
"1779",563,557.998047317865
"2053",586,593.907175464031
"352",248,246.155210165821
"1354",503,506.974675956772
"1412",421,418.014743411587
"1180",417,431.484530087997
"1639",540,581.28811574371
"1317",575,589.427345389453
"277",314,297.712251216208
"1390",721,712.561002835753
"1402",403,411.019163587683
"1004",314,348.619707964588
"250",257,110.22111870545
"896",443,457.456491488944
"1008",455,522.324614752486
"1379",360,349.189391652727
"663",367,354.263092902615
"460",265,260.687832850268
"1276",524,521.513954352347
"1081",285,277.621978900908
"366",498,561.342517339837
"612",248,268.462896969268
"1808",349,336.840076697184
"1421",454,454.193602503714
"1740",570,565.493792360892
"2100",712,681.580903691387
"1876",492,477.032535725017
"38",439,428.091931594258
"1933",574,569.569338843277
"390",281,276.77095447637
"645",552,525.666228145937
"1853",730,710.350848507714
"1758",269,259.595313914699
"2058",319,312.51619009428
"878",566,570.303671241545
"1197",341,336.51269568424
"1941",795,768.284588828531
"491",265,311.445929401579
"1681",321,313.436050831527
"1748",551,545.172123683792
"758",407,402.5452948542
"619",311,332.648127358512
"494",539,517.620815860385
"1321",462,474.822637711253
"2030",493,486.56357923534
"1997",287,291.657689726084
"2079",685,669.094944645317
"802",560,533.115452094798
"21",256,239.0529106082
"486",205,185.415919635383
"947",382,383.357624415401
"1148",302,296.321810730567
"1238",723,707.940712995159
"1272",331,329.634377385168
"349",331,340.440602812108
"781",625,604.904922487395
"874",574,554.658699652438
"1517",504,463.336623834581
"326",555,538.803981895014
"717",315,321.662265105751
"716",265,255.311332570338
"1012",636,683.17521741984
"280",353,340.807303343602
"920",305,295.992327344996
"1094",368,365.642478072413
"1064",411,385.289004670347
"320",380,378.676077396658
"2089",629,621.338359844633
"1562",665,642.00469027372
"1436",596,597.84303865181
"1342",351,347.461004922138
"1157",278,269.163566446597
"954",583,563.570128624464
"129",402,385.047465497273
"1892",429,419.986234746938
"119",358,344.38983204032
"2001",512,507.322777662399
"1611",352,344.831382080092
"2",523,493.507511035115
"1650",390,407.47195771082
"2002",675,656.277496135513
"272",353,352.999999999985
"2015",400,403.136191130931
"2018",737,722.226530943099
"1283",451,451.481266213283
"1475",549,552.412610865723
"648",365,351.601692583334
"140",246,239.077419162823
"1079",348,356.155866000554
"525",216,205.943469275001
"1116",390,391.849671508268
"1050",451,471.757571950065
"1975",532,534.34377203178
"906",447,452.792494228997
"1176",378,367.563767689954
"626",274,297.930107842592
"631",574,566.204434764213
"980",559,529.260025158154
"1139",519,518.111673817425
"1725",371,366.812371578187
"951",689,663.882446548554
"1809",608,599.009956906824
"1802",450,444.529324175788
"29",242,232.613868385742
"410",248,236.401721934992
"1980",370,365.510892987989
"235",239,233.710927788145
"117",123,14.4581837572255
"1867",614,600.600109043685
"2063",368,365.27642948733
"1020",253,255.850808483576
"503",323,310.330971045804
"89",287,264.689842173732
"1161",733,711.222091280095
"1654",362,361.999999999987
