output_yield,year,reginal_zone,province_code,planted_area,harvested_area,production_ton,yield_ha_area,sale_price,fertilizer_use,cost,Temp,RainDay,Rainfall
608,2562,12,10,295485,289849,179655,620,7684.75,25.51,4825.24,22,10,10
562,2562,12,20,210477,202605,118288,584,7684.75,26.36,4825.24,16,2,10
539,2562,12,30,34958,33879,18842,556,7684.75,23.22,4825.24,13,10,0
553,2562,13,40,13014,12138,7197,593,7684.75,26.16,4825.24,1,15,1
675,2562,13,50,147172,142082,99341,699,7684.75,28.19,4825.24,7,8,5
392,2562,13,60,113540,112147,44508,397,7684.75,12.44,4825.24,25,16,2
445,2562,9,70,250890,236963,111646,471,7826.09,20.21,4825.24,26,10,3
607,2562,9,80,1402632,1393783,851398,611,7407.67,35.66,4825.24,5,8,8
572,2562,9,90,1080352,1060770,617961,583,7968.92,36.33,4825.24,0,5,5
614,2562,11,100,11204,11057,6879,622,7684.75,27.83,4825.24,16,16,10
557,2562,11,110,2674,2648,1489,562,7684.75,21.58,4825.24,30,12,1
630,2562,11,120,503223,497853,317030,637,8070,36.05,4825.24,4,3,1
607,2562,10,130,1356313,1328329,823282,620,7829.17,34.58,4825.24,15,3,10
614,2562,10,140,1798138,1782580,1104591,620,7511.25,38.72,4825.24,2,12,2
581,2562,8,150,2429052,2346947,1410436,601,7746.75,40.52,4825.24,9,4,3
624,2562,8,160,593110,587286,370101,630,7833,41.05,4825.24,20,12,7
556,2562,8,170,954243,921476,530559,576,7523.75,28.04,4825.24,21,4,2
400,2562,1,180,10245,9890,4098,414,7682,16.44,4380.22,1,16,5
312,2562,1,190,130256,129680,40640,313,7682,16.38,4380.22,13,14,10
349,2562,1,200,295702,286760,103200,360,7682,18.6,4380.22,6,16,5
337,2562,1,210,80471,79710,27119,340,7682,20.17,4380.22,14,14,0
280,2562,1,211,85438,79254,23923,302,7682,17.27,4380.22,0,10,4
324,2562,2,220,453842,427954,147045,344,7682,18.4,4380.22,7,15,6
368,2562,2,230,440024,427472,161929,379,7682,16.22,4380.22,2,12,4
356,2562,2,240,82457,81801,29355,359,7682,18.44,4380.22,20,14,6
347,2562,3,250,654722,594834,227189,382,7682,21.14,4380.22,23,12,8
327,2562,3,260,601759,584288,196775,337,7682,16.62,4380.22,9,17,6
322,2562,3,270,2200174,2083070,708456,340,7682,21.4,4380.22,1,6,7
344,2562,5,280,2690243,2371155,925444,390,7682,30.4,4380.22,11,13,1
356,2562,5,290,3143692,2923366,1119154,383,7682,28.53,4380.22,8,14,5
338,2562,5,300,2509740,2312971,848292,367,7682,29.82,4380.22,16,9,6
336,2562,4,310,1198161,1077792,402582,374,7682,28.39,4380.22,16,13,5
340,2562,4,320,2044165,1906944,695016,364,7682,28.36,4380.22,11,14,6
362,2562,4,330,363788,363104,131691,363,7682,24.83,4380.22,28,13,4
290,2562,4,340,632071,563916,183301,325,7682,24.19,4380.22,26,10,0
310,2562,6,350,856050,718011,265376,370,7682,18.82,4380.22,14,8,7
297,2562,6,360,3024014,2451576,898132,366,7682,28.01,4380.22,23,11,9
630,2562,7,370,389103,380174,245028,645,7823.75,48.94,5585.68,29,3,0
545,2562,7,380,745476,706136,406163,575,7810.83,40.33,5585.68,4,12,10
698,2562,14,390,316217,315264,220723,700,7834.17,49.58,5585.68,27,12,4
671,2562,14,400,794856,792795,533044,672,7818.33,51.09,5585.68,11,8,7
709,2562,14,410,1218261,1215037,863767,711,7893.75,52.06,5585.68,22,0,6
656,2562,14,420,343606,337577,225439,668,7733.75,45.78,5585.68,11,9,2
666,2562,15,430,922179,917145,614555,670,7710.42,42.53,5585.68,11,15,2
730,2562,15,440,113568,113354,82849,731,7703.75,49.46,5585.68,0,1,7
673,2562,15,450,109481,108671,73676,678,7687.08,46.31,5585.68,16,17,3
746,2562,15,460,328031,327567,244740,747,7734.17,48.39,5585.68,21,11,8
562,2562,18,470,412857,402576,231935,576,7841.67,43.01,5585.68,24,0,10
366,2562,18,480,462145,395281,169145,428,7703.75,34.65,5585.68,8,1,9
630,2562,18,490,709554,696145,447019,642,7656.58,44.8,5585.68,10,0,5
298,2562,20,500,776134,699953,231288,330,7810.17,26.74,5585.68,6,2,9
361,2562,20,510,24481,23005,8838,384,7809.5,25.65,5585.68,14,12,7
396,2562,20,520,20680,20032,8185,409,7809.5,28.14,5585.68,8,1,9
401,2562,19,530,21410,19747,8594,435,7837.58,31.29,5585.68,29,15,0
459,2562,19,540,81745,76432,37508,491,7007,27.79,5585.68,19,15,6
800,2562,19,550,32538,32348,26022,804,7688.75,41.74,5585.68,2,17,3
700,2562,17,560,13397,13297,9383,706,7727.58,38.59,5585.68,12,11,0
755,2562,17,570,398750,398076,301093,756,7766.92,49,5585.68,7,4,6
614,2562,16,580,421162,417240,258752,620,7826.67,39.87,5585.68,10,14,3
684,2562,16,590,330155,327493,225863,690,7897.33,50.49,5585.68,30,1,4
711,2562,17,600,4177,4177,2970,711,8101,47.88,5585.68,22,4,3
703,2562,16,610,321838,316660,226393,715,7871.33,44.14,5585.68,20,9,1
552,2562,16,620,45683,44164,25218,571,7859.7,33.93,5585.68,9,8,2
364,2562,21,630,7013,6886,2554,371,7682,36.36,4355.47,14,7,7
331,2562,21,640,865,857,286,334,7490,13.87,4355.47,9,1,9
388,2562,21,650,7391,7266,2865,394,7682,30.44,4355.47,14,8,6
313,2562,23,660,1611,1532,505,330,7682,28.55,4355.47,11,2,10
492,2562,23,670,65,65,32,492,7682,30.77,4355.47,20,12,2
308,2562,23,680,5023,4908,1546,315,7682,12.74,4355.47,5,6,0
379,2562,23,690,12928,12787,4906,384,7682,30.24,4355.47,0,5,1
451,2562,22,700,322985,315520,145666,462,7682,33.88,4355.47,8,7,0
454,2562,22,710,141097,136747,64021,468,7682,32.55,4355.47,26,12,10
512,2562,22,720,227671,199898,116665,584,7682,33.31,4355.47,16,13,5
392,2562,22,730,30400,30306,11919,393,7682,33.06,4355.47,16,4,5
352,2562,24,740,94322,88837,33198,374,7682,28,4355.47,29,0,4
350,2562,24,750,42040,41659,14725,353,7682,25.81,4355.47,29,3,7
366,2562,24,760,50123,49488,18331,370,7682,25.81,4355.47,9,13,1
606,2561,12,10,310898,309836,188293,608,9493.17,26.39,4557.14,24,16,1
516,2561,12,20,198132,192633,102333,531,9493.17,27.35,4557.14,10,2,8
562,2561,12,30,34982,33804,19657,581,9493.17,24.3,4557.14,19,12,2
573,2561,13,40,12392,12047,7104,590,9493.17,28.55,4557.14,9,13,1
633,2561,13,50,149597,143107,94676,662,9493.17,29.17,4557.14,26,9,2
428,2561,13,60,102933,101262,44090,435,9493.17,13.74,4557.14,5,1,6
442,2561,9,70,257236,241260,113669,471,10043,20.54,4557.14,5,8,6
601,2561,9,80,1425633,1415211,856868,605,9211.67,37.1,4557.14,16,9,2
570,2561,9,90,1099486,1072985,626622,584,9446.67,37.86,4557.14,10,16,1
643,2561,11,100,11456,11240,7364,655,9493.17,25.72,4557.14,14,17,5
503,2561,11,110,3381,3340,1702,510,9493.17,19.62,4557.14,3,8,10
627,2561,11,120,532907,528964,334088,632,9716.1,36.74,4557.14,23,14,3
610,2561,10,130,1391395,1381893,848881,614,9748.33,35.52,4557.14,30,13,0
610,2561,10,140,1810184,1794141,1104458,616,9304.17,38.98,4557.14,19,5,2
558,2561,8,150,2509912,2448133,1400735,572,9294.08,42.07,4557.14,11,8,5
619,2561,8,160,606297,603040,375467,623,10107.36,41.97,4557.14,24,13,6
551,2561,8,170,956415,942310,526583,559,9810,29.04,4557.14,29,14,8
414,2561,1,180,9044,8745,3748,429,10554.67,16.53,4153.09,24,5,5
270,2561,1,190,152900,102603,41256,402,10446,16.32,4153.09,3,17,4
307,2561,1,200,359729,302666,110332,365,10554.67,17.62,4153.09,3,2,3
353,2561,1,210,92562,84325,32633,387,10554.67,20.82,4153.09,2,5,1
249,2561,1,211,102801,82153,25633,312,10554.67,16.42,4153.09,1,12,7
299,2561,2,220,486352,428018,145206,339,10000,18.59,4153.09,3,4,8
349,2561,2,230,449237,442614,156933,355,10554.67,16.37,4153.09,20,9,1
262,2561,2,240,85392,68506,22363,326,10554.67,18.96,4153.09,12,2,4
297,2561,3,250,652063,526910,193625,367,10925,20.77,4153.09,5,6,3
269,2561,3,260,629240,525570,169522,323,10554.67,16.66,4153.09,3,6,1
327,2561,3,270,2486026,2368806,812552,343,10554.67,22.03,4153.09,8,8,3
353,2561,5,280,2689296,2586066,948214,367,10554.67,30.83,4153.09,4,11,9
340,2561,5,290,3181296,2851129,1080900,379,10554.67,31.13,4153.09,22,3,2
323,2561,5,300,2803793,2421086,906625,374,10554.67,32.13,4153.09,22,10,0
302,2561,4,310,1203570,965150,363025,376,10554.67,26.95,4153.09,7,7,5
275,2561,4,320,2076863,1506791,570523,379,10554.67,29.39,4153.09,1,6,4
301,2561,4,330,426900,353699,128661,364,10554.67,25.06,4153.09,7,1,2
278,2561,4,340,667615,542353,185743,342,10554.67,23.8,4153.09,27,5,4
330,2561,6,350,917372,821441,302499,368,10554.67,20.17,4153.09,3,12,2
276,2561,6,360,3243289,2532096,896365,354,10554.67,29.26,4153.09,17,0,4
626,2561,7,370,405427,400135,253816,634,9642.92,50.5,5258.63,15,10,3
546,2561,7,380,738780,723155,403685,558,9655.42,39.86,5258.63,14,14,2
692,2561,14,390,316974,314592,219449,698,9640.83,49.73,5258.63,30,3,6
659,2561,14,400,787593,784678,519376,662,9680.42,52.97,5258.63,24,10,7
694,2561,14,410,1212173,1196404,841281,703,9866.25,53.87,5258.63,18,2,7
668,2561,14,420,345606,345120,230754,669,9661.67,47.42,5258.63,10,12,0
643,2561,15,430,959758,941648,616768,655,9559.58,41.79,5258.63,9,6,6
717,2561,15,440,119324,118210,85569,724,9559.58,48.83,5258.63,18,9,2
674,2561,15,450,113302,112520,76362,679,9559.58,46.04,5258.63,3,12,8
741,2561,15,460,338306,337476,250525,742,9661.67,49.94,5258.63,16,12,5
563,2561,18,470,457979,452485,257742,570,9555,44.3,5258.63,7,11,8
367,2561,18,480,457728,400277,168016,420,9465,34.52,5258.63,29,2,5
620,2561,18,490,736547,720460,456374,633,9855.83,45.96,5258.63,3,8,0
275,2561,20,500,777303,689112,213457,310,9942.73,27.24,5258.63,27,1,2
368,2561,20,510,26395,26395,9715,368,9727.08,25,5258.63,16,13,1
398,2561,20,520,21804,21612,8675,401,9727.08,27.88,5258.63,23,10,2
417,2561,19,530,21760,21580,9064,420,9396,30.56,5258.63,14,16,1
456,2561,19,540,85862,79251,39125,494,10082.22,28.17,5258.63,14,12,0
799,2561,19,550,45139,44993,36045,801,9881.44,40.43,5258.63,29,12,0
679,2561,17,560,14118,13988,9584,685,9868.73,37.97,5258.63,27,1,3
748,2561,17,570,405611,401106,303371,756,9960.64,48.49,5258.63,16,13,0
604,2561,16,580,420433,411962,253828,616,9734.83,39.06,5258.63,4,4,10
669,2561,16,590,335574,328961,224353,682,10062.36,56.8,5258.63,7,4,5
639,2561,17,600,3554,3490,2272,651,10531.75,48.68,5258.63,15,6,2
699,2561,16,610,320271,319810,223873,700,9863.33,46.74,5258.63,30,3,5
547,2561,16,620,45904,44179,25110,568,9802.17,33.33,5258.63,21,12,4
364,2561,21,630,6859,6731,2498,371,13034.38,35.57,4143.48,10,7,9
332,2561,21,640,772,772,256,332,13034.38,14.25,4143.48,0,11,8
366,2561,21,650,7791,7478,2852,381,13034.38,30.68,4143.48,24,15,6
321,2561,23,660,1718,1718,552,321,13034.38,27.36,4143.48,0,4,6
493,2561,23,670,69,69,34,493,13034.38,28.99,4143.48,15,13,2
346,2561,23,680,3252,3252,1125,346,13034.38,12.61,4143.48,3,4,8
383,2561,23,690,13189,13189,5046,383,13034.38,29.49,4143.48,5,11,1
450,2561,22,700,331048,321182,149050,464,13034.38,36.63,4143.48,16,15,0
410,2561,22,710,144888,128090,59442,464,13034.38,34.12,4143.48,12,2,5
562,2561,22,720,228862,227023,128571,566,13034.38,35.33,4143.48,21,1,10
386,2561,22,730,32881,32459,12677,391,13034.38,32.51,4143.48,24,4,2
369,2561,24,740,109616,107900,40492,375,13034.38,27.13,4143.48,20,12,6
230,2561,24,750,31545,31239,7248,232,13034.38,25.52,4143.48,8,10,7
349,2561,24,760,69220,68832,24144,351,13034.38,25.52,4143.48,9,8,1